Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2022-10-10,AFG,Afghanistan,,47.164638,19.508944,2107907,47576,,2060331,,,False,False,HU
2022-10-10,AFG,Afghanistan,,7.874097,80.767098,670869,16768,,654101,,,False,False,LK
2022-10-10,AFG,Afghanistan,,43.892652,17.670584,399175,16154,,383021,,,False,False,BA
2022-10-10,AFG,Afghanistan,,-13.151917,27.852537,333555,4017,,329538,,,False,False,ZM
2022-10-10,AFG,Afghanistan,,62.199806,17.637493,2601153,20274,,2580879,,,False,False,SE
2022-10-10,AFG,Afghanistan,,12.152588,-61.689557,19536,237,,19299,,,False,False,GD
2022-10-10,AFG,Afghanistan,,-17.778572,-143.903496,76703,649,,76054,,,False,False,PF
2022-10-10,AFG,Afghanistan,,,,34490,706,,33784,,,False,False,LS
2022-05-26,AFG,Afghanistan,,,,8120,161,,7959,,,False,False,KM
2022-10-10,AFG,Afghanistan,,-9.181352,-75.002365,4146858,216637,,3930221,,,False,False,PE
2022-10-10,AFG,Afghanistan,,12.54775,104.98386,137927,3056,,134871,,,False,False,KH
2022-10-10,AFG,Afghanistan,,33.872639,35.876736,1216638,10684,,1205954,,,False,False,LB
2022-10-10,AFG,Afghanistan,,12.980909,-61.287392,9448,116,,9332,,,False,False,VC
2022-10-10,AFG,Afghanistan,,50.499527,4.475402,4566207,32716,,4533491,,,False,False,BE
2022-09-23,AFG,Afghanistan,,-1.94708,29.876376,132521,1466,,131055,,,False,False,RW
2022-10-10,AFG,Afghanistan,,15.18132,39.786709,10177,103,,10074,,,False,False,ER
2022-10-10,AFG,Afghanistan,,39.896027,-2.487694,13441941,114468,,13327473,,,False,False,ES
2022-10-10,AFG,Afghanistan,,52.133057,5.29525,8452954,22692,,8430262,,,False,False,NL
2022-10-10,AFG,Afghanistan,,49.815764,6.131514,294931,1133,,293798,,,False,False,LU
2022-10-10,AFG,Afghanistan,,-2.518722,118.015568,6446143,158219,,6287924,,,False,False,ID
2022-10-10,AFG,Afghanistan,,21.527062,-79.544601,1111224,8530,,1102694,,,False,False,CU
2022-10-10,AFG,Afghanistan,,-13.24627,34.295385,88030,2682,,85348,,,False,False,MW
2022-10-10,AFG,Afghanistan,,13.445412,-15.311436,12442,372,,12070,,,False,False,GM
2022-10-10,AFG,Afghanistan,,41.611,21.751417,343319,9544,,333775,,,False,False,MK
2022-10-10,AFG,Afghanistan,,21.00681,-10.947098,62869,995,,61874,,,False,False,MR
2022-10-10,AFG,Afghanistan,,23.886291,45.081139,817612,9368,,808244,,,False,False,SA
2022-10-10,AFG,Afghanistan,,1.364917,103.822872,1953197,1629,,1951568,,,False,False,SG
2022-10-10,AFG,Afghanistan,,,,11976,14,,11962,,,False,False,VU
2022-10-10,AFG,Afghanistan,,-1.779901,-78.131592,1005877,35900,,969977,,,False,False,EC
2022-10-10,AFG,Afghanistan,,46.145528,14.974542,1202609,8315,,1194294,,,False,False,SI
2022-10-10,AFG,Afghanistan,,38.275283,23.810343,4975067,33200,,4941867,,,False,False,EL
2022-10-10,AFG,Afghanistan,,15.445718,18.738068,7581,193,,7388,,,False,False,TD
2022-10-10,AFG,Afghanistan,,21.516861,55.859291,398424,4628,,393796,,,False,False,OM
2022-10-10,AFG,Afghanistan,,34.668138,104.165802,8087962,26977,,8060985,,,False,False,CN
2022-10-10,AFG,Afghanistan,,64.963942,-19.021169,205823,213,,205610,,,False,False,IS
2021-08-02,AFG,Afghanistan,,-3.387918,29.920395,7505,38,,7467,,,False,False,BI
2022-10-10,AFG,Afghanistan,,51.165706,10.452764,33948632,150535,,33798097,,,False,False,DE
2022-10-10,AFG,Afghanistan,,24.885993,-76.709892,37309,833,,36476,,,False,False,BS
2022-10-10,AFG,Afghanistan,,24.358745,53.982494,1030837,2346,,1028491,,,False,False,AE
2022-10-10,AFG,Afghanistan,,18.573601,-64.492065,7305,64,,7241,,,False,False,VG
2022-03-11,AFG,Afghanistan,,61.523111,-74.9,17242043,359585,,16882458,,,False,False,RU
2022-10-10,AFG,Afghanistan,,45.947125,24.980514,3275576,67082,,3208494,,,False,False,RO
2022-10-10,AFG,Afghanistan,,33.223737,43.685901,2460844,25356,,2435488,,,False,False,IQ
2022-10-10,AFG,Afghanistan,,-38.421295,-63.587403,9711355,129937,,9581418,,,False,False,AR
2022-10-10,AFG,Afghanistan,,17.611,8.080946,9415,314,,9101,,,False,False,NE
2022-10-10,AFG,Afghanistan,,4.577317,-74.298973,6307372,141794,,6165578,,,False,False,CO
2022-10-10,AFG,Afghanistan,,26.338522,17.268816,507010,6437,,500573,,,False,False,LY
2022-10-10,AFG,Afghanistan,,13.036597,101.492515,4685047,32829,,4652218,,,False,False,TH
2022-10-10,AFG,Afghanistan,,21.692252,-71.803756,6380,36,,6344,,,False,False,TC
2022-10-10,AFG,Afghanistan,,35.946151,14.384612,114887,806,,114081,,,False,False,MT
2022-10-10,AFG,Afghanistan,,-36.711951,-73.601704,4642033,61268,,4580765,,,False,False,CL
2022-10-10,AFG,Afghanistan,,42.729862,25.491667,1264827,37747,,1227080,,,False,False,BG
2022-10-10,AFG,Afghanistan,,71.702379,-42.177174,11971,21,,11950,,,False,False,GRL
2022-10-10,AFG,Afghanistan,,42.710152,19.410069,281197,2782,,278415,,,False,False,ME
2022-10-10,AFG,Afghanistan,,6.452424,-9.428598,7974,294,,7680,,,False,False,LR
2022-10-10,AFG,Afghanistan,,18.115265,-77.273479,151931,3320,,148611,,,False,False,JM
2022-03-11,AFG,Afghanistan,,,,443,39,,404,,,False,False,
2022-10-10,AFG,Afghanistan,,,,21544,153,,21391,,,False,False,SB
2022-10-10,AFG,Afghanistan,,17.579757,-3.998823,32697,742,,31955,,,False,False,ML
2022-10-10,AFG,Afghanistan,,30.441861,69.359766,1572972,30623,,1542349,,,False,False,PK
2022-10-10,AFG,Afghanistan,,,,3430,13,,3417,,,False,False,
2022-10-10,AFG,Afghanistan,,64.952416,26.068944,1312634,6149,,1306485,,,False,False,FI
2021-09-20,AFG,Afghanistan,,18.736509,-70.161744,355150,4796,,350354,,,False,False,DO
2022-10-10,AFG,Afghanistan,,48.665639,19.709097,1847301,20481,,1826820,,,False,False,SK
2022-10-10,AFG,Afghanistan,,40.147396,47.572098,822171,9927,,812244,,,False,False,AZ
2022-10-10,AFG,Afghanistan,,12.24185,-1.55676,21631,387,,21244,,,False,False,BF
